grade,car_model,car_use_cond,price,mileage,year,car_id,car_location,indi_car_link,car_type,fuel_type,gear_type
A,Suzuki Baleno 2019,New,"₦ 7,300,000",Mileage:  1 Km,Year: 2019,Car ID: NG-441662,SUZUKI Special Centre,https://buy.cars45.com/cars/suzuki-baleno-2019-hatchback-ng-441662?filter=,Hatchback,Petrol,automatic
E,1997 Volkswagen Golf,Nigerian Used,"₦ 451,000",Mileage:  1 Km,Year: 1997,Car ID: NG-445897,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/volkswagen-golf-1997-automatic-ng-445897?filter=,Sedan,Petrol,automatic
C,2008 Toyota Highlander,Nigerian Used,"₦ 3,861,000","Mileage:  105,087 Km",Year: 2008,Car ID: NG-445833,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-highlander-2008-automatic-ng-445833?filter=,Suv,Petrol,automatic
D,1999 Lexus Rx 300,Nigerian Used,"₦ 836,000","Mileage:  110,663 Km",Year: 1999,Car ID: NG-445684,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-rx-300-1999-suv-ng-445684?filter=,Suv,Petrol,automatic
C,2010 Nissan Murano,Foreign Used,"₦ 1,771,000","Mileage:  171,469 Km",Year: 2010,Car ID: NG-445621,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-murano-2010-automatic-ng-445621?filter=,Suv,Petrol,automatic
E,2003 Honda Pilot,Nigerian Used,"₦ 946,000","Mileage:  168,436 Km",Year: 2003,Car ID: NG-445844,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/honda-pilot-2003-automatic-ng-445844?filter=,Suv,Petrol,automatic
E,2010 Mercedes-Benz E350,Foreign Used,"₦ 3,861,000","Mileage:  124,858 Km",Year: 2010,Car ID: NG-445785,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-e350-2010-automatic-ng-445785?filter=,Sedan,Petrol,automatic
D,2010 Toyota Camry,Nigerian Used,"₦ 1,331,000","Mileage:  79,809 Km",Year: 2010,Car ID: NG-445836,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2010-automatic-ng-445836?filter=,Sedan,Petrol,automatic
C,2002 Toyota Camry,Nigerian Used,"₦ 1,001,000","Mileage:  112,517 Km",Year: 2002,Car ID: NG-445864,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2002-automatic-ng-445864?filter=,Sedan,Petrol,automatic
D,2002 Ford Explorer,Nigerian Used,"₦ 451,000","Mileage:  150,412 Km",Year: 2002,Car ID: NG-445841,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/ford-explorer-2002-automatic-ng-445841?filter=,About,Us,Terms
